split,method,regime,n,coverage,nominal,gap,mean_width
temporal,split-absolute,__overall__,15616,0.8976690573770492,0.9,-0.00233094262295086,1.6724223994025884
temporal,split-absolute,accumulation,6851,0.9246825280980878,0.9,0.024682528098087797,1.6724223994025882
temporal,split-absolute,melt_freshet,1630,0.8865030674846626,0.9,-0.013496932515337456,1.6724223994025886
temporal,split-absolute,rain_on_snow,920,0.9010869565217391,0.9,0.0010869565217390686,1.6724223994025884
temporal,split-absolute,recession,6215,0.8703137570394207,0.9,-0.029686242960579312,1.6724223994025882
temporal,split-cqr,__overall__,15616,0.8954918032786885,0.9,-0.00450819672131153,1.555159861007621
temporal,split-cqr,accumulation,6851,0.9170923952707634,0.9,0.01709239527076334,1.4837510085565522
temporal,split-cqr,melt_freshet,1630,0.8926380368098159,0.9,-0.007361963190184118,1.609811715000594
temporal,split-cqr,rain_on_snow,920,0.8869565217391304,0.9,-0.013043478260869601,1.5450805835364056
temporal,split-cqr,recession,6215,0.8736926790024135,0.9,-0.02630732099758648,1.6210347542348524
temporal,regime-hard,__overall__,15616,0.8936347336065574,0.9,-0.006365266393442592,1.657325661818095
temporal,regime-hard,accumulation,6851,0.8817690848051379,0.9,-0.018230915194862085,1.3465942166003355
temporal,regime-hard,melt_freshet,1630,0.8907975460122699,0.9,-0.00920245398773012,1.7061858855551537
temporal,regime-hard,rain_on_snow,920,0.9119565217391304,0.9,0.011956521739130421,1.7427079097111253
temporal,regime-hard,recession,6215,0.9047465808527756,0.9,0.004746580852775573,1.9744016551300614
temporal,regime-soft-gate,__overall__,15616,0.8937628073770492,0.9,-0.00623719262295086,1.6555203140814934
temporal,regime-soft-gate,accumulation,6851,0.8836666180119691,0.9,-0.016333381988030915,1.3534701527519433
temporal,regime-soft-gate,melt_freshet,1630,0.8846625766871166,0.9,-0.015337423312883458,1.696104831886137
temporal,regime-soft-gate,rain_on_snow,920,0.9119565217391304,0.9,0.011956521739130421,1.7412945708179912
temporal,regime-soft-gate,recession,6215,0.9045856798069187,0.9,0.004585679806918708,1.9651390711288945
temporal,enbpi,__overall__,15616,0.9047131147540983,0.9,0.004713114754098302,2.3732904966419635
temporal,enbpi,accumulation,6851,0.9176762516420961,0.9,0.017676251642096075,2.3791148640801896
temporal,enbpi,melt_freshet,1630,0.9601226993865031,0.9,0.06012269938650305,2.3648669400807663
temporal,enbpi,rain_on_snow,920,0.9641304347826087,0.9,0.06413043478260871,2.378006645430724
temporal,enbpi,recession,6215,0.8670957361222847,0.9,-0.03290426387771528,2.3683812124890755
pur,split-absolute,__overall__,5569,0.894595079906626,0.9,-0.0054049200933740105,2.6552468118550423
pur,split-absolute,accumulation,1985,0.9163727959697733,0.9,0.016372795969773257,2.6552468118550427
pur,split-absolute,melt_freshet,685,0.8992700729927007,0.9,-0.0007299270072993469,2.6552468118550427
pur,split-absolute,rain_on_snow,395,0.8784810126582279,0.9,-0.021518987341772156,2.6552468118550423
pur,split-absolute,recession,2504,0.8785942492012779,0.9,-0.02140575079872209,2.655246811855042
pur,split-cqr,__overall__,5569,0.8956724726162686,0.9,-0.004327527383731433,2.807662843609793
pur,split-cqr,accumulation,1985,0.8675062972292191,0.9,-0.0324937027707809,2.5069719378056687
pur,split-cqr,melt_freshet,685,0.8817518248175182,0.9,-0.018248175182481785,2.6978409799273733
pur,split-cqr,rain_on_snow,395,0.8632911392405064,0.9,-0.036708860759493644,2.7838208494900627
pur,split-cqr,recession,2504,0.9269169329073482,0.9,0.0269169329073482,3.07983417440889
pur,regime-hard,__overall__,5569,0.8976476925839468,0.9,-0.00235230741605319,2.6655417386373483
pur,regime-hard,accumulation,1985,0.9037783375314862,0.9,0.0037783375314861534,2.5605035907725897
pur,regime-hard,melt_freshet,685,0.8875912408759125,0.9,-0.012408759124087565,2.5915727025243105
pur,regime-hard,rain_on_snow,395,0.9341772151898734,0.9,0.03417721518987338,2.8762239067041038
pur,regime-hard,recession,2504,0.889776357827476,0.9,-0.010223642172524028,2.7358093332310425
pur,regime-soft-gate,__overall__,5569,0.8956724726162686,0.9,-0.004327527383731433,2.6641915211713867
pur,regime-soft-gate,accumulation,1985,0.9083123425692695,0.9,0.008312342569269493,2.5919107372445493
pur,regime-soft-gate,melt_freshet,685,0.8934306569343066,0.9,-0.006569343065693456,2.6339355438750256
pur,regime-soft-gate,rain_on_snow,395,0.8759493670886076,0.9,-0.024050632911392422,2.6096094670860923
pur,regime-soft-gate,recession,2504,0.8893769968051118,0.9,-0.010623003194888181,2.7383778677794024
pur,enbpi,__overall__,5569,0.910935536002873,0.9,0.010935536002873003,2.3581980062453787
pur,enbpi,accumulation,1985,0.909823677581864,0.9,0.009823677581863977,2.357672782461015
pur,enbpi,melt_freshet,685,0.9795620437956204,0.9,0.07956204379562037,2.35841206096129
pur,enbpi,rain_on_snow,395,0.9772151898734177,0.9,0.07721518987341769,2.357353240604242
pur,enbpi,recession,2504,0.8825878594249201,0.9,-0.017412140575079893,2.3586890702069647
