period,n_obs,n_gauges,kge_raw,kge,kge_r_raw,kge_r,kge_beta_raw,kge_beta,kge_gamma_raw,kge_gamma,nse_raw,nse,lognse_raw,lognse,pbias_raw,pbias,d_kge,d_pbias_abs
1,660,63,-0.28781314990548146,0.11164433861412604,0.2338864533595319,0.26847570250352715,0.5736538833940679,0.9187827908308595,0.8345703183356373,0.723540350440602,-7.953811736984383,-0.5385221049622335,-16.128097954136145,-0.7969258475250625,-42.634611660593244,-8.121720916914063,0.3994574885196075,34.51289074367918
2,647,61,-0.3092477713657207,0.11118566429137411,0.251367218773728,0.31352453427177845,0.6857476650368759,0.9466431740482174,0.8671176867211063,0.716493930822765,-8.204930775052082,-0.5910624510241345,-9.444353591630913,-0.7099584649892072,-31.42523349631242,-5.335682595178274,0.4204334356570948,26.089550901134146
3,655,62,-0.403698844555303,0.1390706490690592,0.25646937584437746,0.2746071826879284,0.6030159910281712,0.9462925273099334,0.8678270932937497,0.6198824622571616,-8.669288090641675,-0.6211876061650919,-13.696663248184429,-0.6648617279645953,-39.698400897182864,-5.370747269006669,0.5427694936243622,34.32765362817619
4,656,64,-0.3485173025295035,0.1196699531407111,0.24019572969341235,0.2869267855509835,0.7198388130801576,0.962722871882345,0.989180829561005,0.6213679078960104,-9.234078454003615,-0.4343809338968917,-13.903453202425034,-0.5005768253890177,-28.01611869198423,-3.727712811765519,0.46818725567021463,24.28840588021871
5,639,61,-0.18830159496894883,0.22325360332318567,0.51510579675948,0.3738362052571284,0.6099951977003246,0.9599712655932856,1.142406110145899,0.5318709870002295,-6.801640387556892,-0.29936974337695976,-14.051817063849983,-0.260883377100835,-39.00048022996754,-4.0028734406714115,0.4115551982921345,34.99760678929613
6,642,61,-0.18835443791921325,0.2312912444731392,0.33436610325038885,0.35052672464031986,0.6841500832071499,0.9465091108828798,1.077798266165389,0.5397626629537259,-6.00278282200023,-0.23254255799686896,-10.468730867222618,-0.2328045380038697,-31.584991679285007,-5.349088911712028,0.41964568239235245,26.23590276757298
7,651,62,-0.06747402305281414,0.23007210374099962,0.3442369862546349,0.4201582310853771,0.5632916585013457,1.0327083955636953,0.8890714801208328,0.5871136948640266,-4.427664149175034,-0.24048993710858213,-7.0616770401558995,-0.16285039322097783,-43.67083414986543,3.270839556369526,0.29754612679381376,40.399994593495904
8,646,61,-0.10288221663236097,0.2828232990948648,0.40826983343209644,0.5043878687825673,0.6133495597657415,1.0278835021832167,0.9774788624809168,0.6401387906939359,-2.395124454935762,-0.09978178327898068,-5.18136518158921,-0.11626238188908,-38.66504402342586,2.78835021832167,0.3857055157272258,35.87669380510419
9,648,61,-0.15214140073146298,0.35992176559046696,0.3503243543134073,0.4726151350458577,0.6790317865068725,1.0001366571072625,1.3793133218159195,0.8987816046090342,-3.9468807759162345,-0.29250742791346007,-5.882265890312507,-0.30257177654111933,-32.09682134931276,0.013665710726261665,0.5120631663219299,32.0831556385865
10,649,63,-0.03484715401157601,0.4111074843749911,0.5104205916841684,0.5664161218131581,0.6432198918745596,0.9778306151993323,1.0380206554229512,0.8335755255728561,-4.302689387738821,-0.12855052736083317,-5.886992383793518,-0.1442654414471829,-35.67801081254404,-2.2169384800667915,0.4459546383865671,33.461072332477244
11,647,63,0.0985534092768362,0.4961857205585467,0.5760657621774778,0.636922870001004,0.5596300557221646,1.0149951121113991,0.9814146404305353,0.7644843249811315,-2.6695323370395028,0.061497754440711594,-4.507786393465545,0.02407818001590878,-44.03699442778354,1.4995112111399163,0.3976323112817105,42.53748321664362
12,646,62,0.13518118638536986,0.4570217808920741,0.6840840444222962,0.6787262287590001,0.5699657535561389,0.9777868947585526,0.9337306383998729,0.7931313866948024,-2.2250524058410863,0.18259111666164551,-3.3558698664588533,0.16661724719316562,-43.0034246443861,-2.22131052414474,0.32184059450670427,40.78211412024136
13,645,61,0.10322410859012943,0.46931637670021553,0.5822844017413462,0.670121766819254,0.6799318955357441,1.038263920193339,0.969777904835528,0.7951068741809356,-2.3632857905271734,0.11630515747828796,-3.057580032014834,0.0724996436648434,-32.0068104464256,3.82639201933392,0.3660922681100861,28.180418427091677
14,647,61,0.045790247125383376,0.4248643230280512,0.5003870797607104,0.6018798655314657,0.8091962225276608,0.970918205504459,1.0970614189431858,0.8727296963066329,-1.9887580208242017,-0.04751387668593865,-3.104198716279436,-0.09736085912975567,-19.080377747233925,-2.9081794495541047,0.37907407590266784,16.17219829767982
15,675,61,0.20114017585016597,0.44883214834655527,0.5774941763919155,0.5891471844419686,0.7921531541006905,1.0007814102281827,1.0985281582850739,0.9460717379618997,-1.989403851439854,-0.15619020788480875,-2.5176548670710592,-0.26810415717765346,-20.784684589930944,0.07814102281825872,0.2476919724963893,20.706543567112686
16,624,60,0.13393108260064568,0.44518456645211735,0.4974926549074479,0.6126599431356339,0.7584535421593535,0.9434773493960391,0.9715562221707061,0.9606451425267993,-1.6428844913972465,-0.04423437959055243,-1.6589367482597965,-0.021092860626907517,-24.154645784064662,-5.652265060396086,0.31125348385147167,18.502380723668576
