regime,feature,mean_abs_shap
accumulation,f_log_qglofas,0.7887349809676445
accumulation,f_log_qglofas_lag1,0.5111936800672044
accumulation,f_log_qglofas_roc,0.3840770467638589
accumulation,f_log_qglofas_rmean3,0.18790709442448264
accumulation,t2m_mean,0.12633339686709094
accumulation,f_log_qglofas_rmean9,0.12135119633544686
accumulation,f_doy_cos,0.11428303716534718
accumulation,h_min,0.09770115688682471
accumulation,swe,0.09627391281326982
accumulation,f_log_qglofas_lag3,0.0951045916770476
accumulation,f_scf_amp,0.08795232996371884
accumulation,q_mm,0.08711877412507435
accumulation,swvl1,0.08564404515148086
accumulation,q_km3a,0.08407095802451088
accumulation,q_m3s,0.0806965884999475
accumulation,lc_116,0.07465242411800745
accumulation,hurs_range,0.07451772228750415
accumulation,f_log_qglofas_rstd3,0.07314554988165539
accumulation,f_swe_lag3,0.07001462083325441
accumulation,h_max,0.06921487979135664
accumulation,lc_126,0.06865052632048627
accumulation,f_scf_cold,0.06759297863756154
accumulation,regime_id,0.06637925493488978
accumulation,lc_30,0.06523250061636371
accumulation,f_log_qglofas_rstd9,0.058622507999786945
accumulation,slope,0.0565634763747713
accumulation,roughness,0.0547251466257821
accumulation,f_log_qglofas_lag2,0.05439746007061892
accumulation,f_doy_sin,0.05386762940198385
accumulation,f_t2m_rmean9,0.053725985470456525
accumulation,sfcWind_range,0.05224235871133375
accumulation,f_swe_rmean3,0.04994972322008621
accumulation,f_scf_ann,0.049560325506236104
accumulation,f_decade_sin,0.04863651811893585
accumulation,f_t2m_rmean3,0.04641269474956234
accumulation,smlt,0.04640159358988839
accumulation,ai_ann_cgiar,0.04600994674432368
accumulation,basin_order,0.04558172150774909
accumulation,pet_cs_cgiar,0.04552752061504658
accumulation,pr_ann_chpclim,0.04302360399765352
accumulation,f_decade_cos,0.042259937903283674
accumulation,sfcWind_max,0.04215000666819183
accumulation,bio15,0.04197539610864897
accumulation,f_pr_amp,0.0406059761346049
accumulation,tp,0.04050921249505159
accumulation,f_t2m_ft_crossings,0.04047510949441376
accumulation,kg1,0.04014606350953611
accumulation,sfcWind_mean,0.039084395652232644
accumulation,kg3,0.03866424150520546
accumulation,f_swe_lag9,0.03744420999267642
accumulation,area_km2,0.036766092668902475
accumulation,hurs_mean,0.03550018244256867
accumulation,lgd,0.03540440263718828
accumulation,f_freeze_thaw,0.03527116719367835
accumulation,f_swe_rmean9,0.03497871764511477
accumulation,hurs_min,0.03491755210691651
accumulation,f_smlt_rsum9,0.03484058900507488
accumulation,tri,0.0347838368240142
accumulation,gl_dmdtda_mma,0.03470991791638104
accumulation,f_log_qglofas_rstd6,0.03462085996248463
accumulation,bio17,0.03445049174678483
accumulation,f_melt_season,0.03422811731751994
accumulation,f_smlt_rsum3,0.033928770775876284
accumulation,lc_20,0.03373860143772858
accumulation,bio14,0.03357686629215902
accumulation,bio16,0.03347345447597113
accumulation,sf,0.03260926450525378
accumulation,lc_113,0.031974851517899125
accumulation,fcf,0.0317505776257244
accumulation,bio4,0.03121845059769151
accumulation,bio7,0.030497068833325175
accumulation,f_pdd_cum,0.03027299297871444
accumulation,flowdir,0.029644257515713455
accumulation,lc_50,0.028414976648453646
accumulation,gl_fr,0.027839671013374652
accumulation,tcc_mean,0.02765963849297277
accumulation,gst,0.02684747122917354
accumulation,sfcWind_min,0.025803352342208888
accumulation,gsl,0.025577134330155894
accumulation,kg0,0.02518915980533609
accumulation,vpd_min,0.024562059303382358
accumulation,pr_ann_worldclim,0.024500162384151862
accumulation,f_swe_lag6,0.02405804630316485
accumulation,f_log_qglofas_rmean6,0.023380651895715625
accumulation,aspect,0.02307586963299307
accumulation,f_t2m_rmean6,0.022124315495361573
accumulation,gsp,0.021813177719862516
accumulation,lc_100,0.020833672495693043
accumulation,lc_115,0.020725740480384718
accumulation,tpi,0.019673961610038072
accumulation,bio9,0.019225804993660327
accumulation,bio19,0.018975416473489142
accumulation,lc_121,0.018918819236821403
accumulation,bio18,0.01749282664894562
accumulation,f_swe_rmean6,0.017199758818354356
accumulation,fgd,0.016923983345000834
accumulation,kg4,0.01677760734439108
accumulation,tcc_max,0.016747714534689654
accumulation,gdd5,0.016397189279927494
accumulation,lc_40,0.016243753820747598
accumulation,bio2,0.016233861280206992
accumulation,gddlgd0,0.01603162344576925
accumulation,h_mean,0.015232538503659441
accumulation,gdgfgd10,0.015186404323739324
accumulation,bio6,0.015129782453077075
accumulation,bio3,0.014869474370387393
accumulation,f_tas_amp,0.014390058495518197
accumulation,bio8,0.014086388310991738
