model,split,n_gauges,kge_raw_median,kge_median,kge_ci_lo,kge_ci_hi,d_kge_median,win_frac_vs_raw,skilful_k,highly_skilful_k,nse_neg_k,crps_median
catboost,lobo,74,0.417,0.506,0.437,0.575,0.092,0.703,71,12,12,
lgbm,lobo,74,0.417,0.492,0.419,0.549,0.043,0.676,72,10,15,
xgb,lobo,74,0.417,0.489,0.441,0.521,0.073,0.595,72,10,14,
qmap,lobo,74,0.417,0.469,0.36,0.528,-0.029,0.419,67,6,29,
ealstm,lobo,74,0.417,0.462,0.383,0.527,0.023,0.541,70,10,23,
regimeprobnet,lobo,74,0.417,0.448,0.334,0.497,0.031,0.527,67,11,30,6.566
scaling,lobo,74,0.417,0.413,0.255,0.486,-0.08,0.378,66,6,33,
lgbm,pur,14,0.395,0.451,-0.089,0.492,0.012,0.571,11,1,5,
scaling,pur,14,0.395,0.44,-0.303,0.564,-0.028,0.429,11,0,7,
catboost,pur,14,0.395,0.431,-0.185,0.595,0.066,0.571,10,0,6,
regimeprobnet,pur,14,0.395,0.417,-0.183,0.562,0.018,0.5,11,1,8,76.647
qmap,pur,14,0.395,0.346,-0.928,0.624,-0.172,0.429,10,3,8,
stacked,pur,14,0.395,0.323,-0.171,0.586,-0.017,0.429,11,0,8,
deepens,pur,14,0.395,0.305,-0.483,0.477,-0.179,0.429,10,0,9,60.778
qrf,pur,14,0.395,0.301,-0.327,0.538,-0.099,0.357,10,0,6,35.466
xgb,pur,14,0.395,0.289,-0.386,0.541,-0.074,0.429,10,1,7,
ealstm,pur,14,0.395,0.262,-0.299,0.486,-0.136,0.357,11,0,7,
glofas_lstm,pur,14,0.395,0.164,-0.056,0.353,-0.242,0.286,11,2,11,
donor,pur,14,0.395,-0.745,-10.777,0.018,-1.023,0.214,7,2,12,
regimeprobnet,temporal,74,0.386,0.825,0.807,0.843,0.429,0.973,74,59,1,2.704
lgbm,temporal,74,0.386,0.812,0.785,0.855,0.421,1.0,74,59,3,
stacked,temporal,74,0.386,0.812,0.785,0.855,0.421,1.0,74,59,3,
deepens,temporal,74,0.386,0.807,0.784,0.818,0.396,0.959,74,58,1,2.973
xgb,temporal,74,0.386,0.802,0.778,0.847,0.416,0.986,74,60,3,
ealstm,temporal,74,0.386,0.793,0.755,0.817,0.416,0.946,74,53,3,
catboost,temporal,74,0.386,0.791,0.768,0.82,0.394,0.986,74,55,3,
glofas_lstm,temporal,74,0.386,0.771,0.729,0.796,0.349,0.919,74,48,3,
donor,temporal,74,0.386,0.769,0.73,0.794,0.331,0.946,70,47,8,
scaling,temporal,74,0.386,0.76,0.709,0.788,0.326,0.959,73,46,9,
qmap,temporal,74,0.386,0.748,0.708,0.781,0.266,0.959,74,46,16,
qrf,temporal,74,0.386,0.732,0.701,0.758,0.336,0.919,73,43,1,3.513
