model,split,n_gauges,kge_raw,kge,d_kge,nse,pbias_raw,pbias,peak_timing_err,crps
catboost,lobo,74,0.417,0.506,0.092,0.421,-11.108,-6.388,20.372,
catboost,pur,14,0.395,0.431,0.066,0.174,-10.199,-12.322,18.052,
catboost,temporal,74,0.386,0.791,0.394,0.728,-12.758,-9.772,14.062,
ealstm,lobo,74,0.417,0.462,0.023,0.316,-11.108,-4.922,21.212,
ealstm,pur,14,0.395,0.262,-0.136,-0.174,-10.199,-28.431,19.684,
ealstm,temporal,74,0.386,0.793,0.416,0.749,-12.758,-8.874,15.003,
lgbm,lobo,74,0.417,0.492,0.043,0.41,-11.108,-10.444,22.366,
lgbm,pur,14,0.395,0.451,0.012,0.229,-10.199,-10.93,19.918,
lgbm,temporal,74,0.386,0.812,0.421,0.775,-12.758,-8.665,13.892,
qmap,lobo,74,0.417,0.469,-0.029,0.254,-11.108,11.673,24.785,
qmap,pur,14,0.395,0.346,-0.172,-0.739,-10.199,24.361,29.292,
qmap,temporal,74,0.386,0.748,0.266,0.561,-12.758,-5.127,24.917,
regimeprobnet,lobo,74,0.417,0.448,0.031,0.209,-11.108,2.735,22.989,6.566
regimeprobnet,pur,14,0.395,0.417,0.018,-0.348,-10.199,23.405,18.6,76.647
regimeprobnet,temporal,74,0.386,0.825,0.429,0.766,-12.758,-7.009,16.412,2.704
scaling,lobo,74,0.417,0.413,-0.08,0.162,-11.108,29.736,23.111,
scaling,pur,14,0.395,0.44,-0.028,-0.014,-10.199,36.265,20.06,
scaling,temporal,74,0.386,0.76,0.326,0.617,-12.758,-4.173,19.149,
xgb,lobo,74,0.417,0.489,0.073,0.441,-11.108,-10.204,20.734,
xgb,pur,14,0.395,0.289,-0.074,0.119,-10.199,-5.304,16.041,
xgb,temporal,74,0.386,0.802,0.416,0.753,-12.758,-9.694,14.125,
