model,split,n_gauges,kge_raw,kge,d_kge,nse,pbias_raw,pbias,peak_timing_err,crps
deepens,pur,14,0.395,0.305,-0.179,-0.294,-10.199,36.483,17.967,60.778
deepens,temporal,74,0.386,0.807,0.396,0.764,-12.758,-8.394,14.4,2.973
donor,pur,14,0.395,-0.745,-1.023,-9.461,-10.199,140.475,33.795,
donor,temporal,74,0.386,0.769,0.331,0.626,-12.758,-3.262,18.984,
glofas_lstm,pur,14,0.395,0.164,-0.242,-0.405,-10.199,12.356,17.959,
glofas_lstm,temporal,74,0.386,0.771,0.349,0.689,-12.758,-9.787,18.283,
qrf,pur,14,0.395,0.301,-0.099,0.145,-10.199,-16.444,20.864,35.466
qrf,temporal,74,0.386,0.732,0.336,0.655,-12.758,-11.403,17.208,3.513
regimeprobnet,pur,14,0.395,0.234,-0.109,-0.743,-10.199,3.77,18.226,66.447
regimeprobnet,temporal,74,0.386,0.807,0.429,0.736,-12.758,-5.151,15.458,2.782
stacked,pur,14,0.395,0.323,-0.017,-0.225,-10.199,4.044,16.689,
stacked,temporal,74,0.386,0.812,0.421,0.775,-12.758,-8.665,13.892,
